1,4-Person Waterproof Camping Tent,"A waterproof, lightweight tent for 2-4 people.",1,99.99,1,True,"images/4-Person_Waterproof_Camping_Tent.png"
2,Cold-Weather Sleeping Bag,"An insulated, compact sleeping bag for cold-weather camping.",1,49.99,2,False,"images/Cold-Weather_Sleeping_Bag.png"
3,65L Hiking Backpack with Rain Cover,"A durable, multi-pocket backpack for long hikes.",1,79.99,3,True,"images/65L_Hiking_Backpack_with_Rain_Cover.png"
4,Compact Propane Camping Stove,A compact propane-powered stove for outdoor cooking.,1,59.99,4,True,"images/Compact_Propane_Camping_Stove.png"
5,Rechargable LED Camping Lantern,"A rechargeable, ultra-bright LED lantern for nighttime use.",1,24.99,5,True,"images/Rechargable_LED_Camping_Lantern.png"
6,Adjustable Anti-Shock Trekking Poles,"Adjustable, anti-shock poles for hiking and trekking.",1,34.99,6,True,"images/Adjustable_Anti-Shock_Trekking_Poles.png"
7,Emergency Survival First Aid Kit,A travel-sized emergency medical kit for outdoor adventures.,1,29.99,7,True,"images/Emergency_Survival_First_Aid_Kit.png"
8,High-Resolution Compact Binoculars,"Compact, high-resolution binoculars for wildlife viewing.",1,69.99,6,True,"images/High-Resolution_Compact_Binoculars.png"
9,Portable Nylon Camping Hammock,"Lightweight, durable hammock for relaxing outdoors.",1,39.99,6,True,"images/Portable_Nylon_Camping_Hammock.png"
10,Fire Starter Kit,Waterproof fire-starting tool for survival and emergency use.,1,14.99,7,True,"images/Fire_Starter_Kit.png"
11,Assorted Colorful Birthday Balloons,Colorful helium and latex balloons in various shapes.,4,9.99,8,True,"images/Assorted_Colorful_Birthday_Balloons.png"
12,Themed Paper Party Hats,"Fun, themed paper hats for kids to wear.",4,7.99,10,True,"images/Themed_Paper_Party_Hats.png"
13,3-Tier Cupcake Display Stand,A tiered stand to display cupcakes in a fun way.,4,19.99,12,True,"images/3-Tier_Cupcake_Display_Stand.png"
14,Large Donkey Piñata with Candy,A themed piñata filled with candy and small toys.,4,34.99,10,True,"images/Large_Donkey_Piñata_with_Candy.png"
15,Birthday Party Goodie Bags,Small bags filled with treats and party favors.,5,24.99,10,True,"images/Birthday_Party_Goodie_Bags.png"
16,Disposable Birthday Tableware Set,"Themed plates, cups, napkins, and cutlery for the party.",5,14.99,13,True,"images/Disposable_Birthday_Tableware_Set.png"
17,Happy Birthday Banner,"A customizable ""Happy Birthday"" banner.",5,12.99,9,True,"images/Happy_Birthday_Banner.png"
18,Kids' Themed Party Invitations,Paper or digital invitations with kid-friendly themes.,5,8.99,9,True,"images/Kids_Themed_Party_Invitations.png"
19,Assorted Candy & Chocolate Mix,Assorted candies and chocolates for the party.,2,14.99,11,True,"images/Assorted_Candy_&_Chocolate_Mix.png"
20,Washable Face Painting Kit,"A set of safe, washable paints for kids' face painting.",3,18.99,14,True,"images/Washable_Face_Painting_Kit.png"
21,Glow-in-the-Dark Halloween Skeleton Costume,"A full-body skeleton costume that glows in the dark. Perfect for spooky fun!",4,29.99,16,True,"images/Glow-in-the-Dark_Halloween_Skeleton_Costume.png"
22,Halloween Pumpkin Carving Kit,"Includes tools and stencils for safe and creative pumpkin carving.",4,12.99,17,True,"images/Halloween_Pumpkin_Carving_Kit.png"
