1,3,1,"Great product and arrived quickly.",5,2023-11-21 14:33:12
2,2,1,"Item as described. Very satisfied.",4,2024-05-06 09:18:27
3,17,5,"Not as expected, but still okay.",3,2023-08-30 17:02:41
4,14,20,"Excellent quality. Will buy again.",5,2024-06-10 12:25:09
5,20,6,"Could be better. Slow delivery.",2,2023-10-14 11:45:33
6,10,2,"This was alright.",2,2024-07-01 08:07:16
7,10,3,"This was decent, too small",3,2023-09-12 20:36:55
8,10,18,"This product fit so well.",5,2024-03-28 16:12:03
9,10,6,"This was too small and bad quality",1,2023-12-27 13:58:47
10,10,7,"Will buy more soon!",5,2024-01-31 18:09:22
11,10,3,"Very sturdy and lightweight tent.",5,2024-04-11 15:22:40
12,4,4,"Easy setup, good quality.",4,2024-03-20 11:05:15
13,2,5,"Camping gear that lasted through storms!",5,2024-03-25 16:18:00
14,9,6,"Great value snack pack!",4,2024-04-01 08:34:10
15,7,7,"Kids loved the variety of candy.",5,2024-04-04 12:49:22
16,6,2,"Cheddar crackers were fresh and tasty.",5,2024-03-27 14:15:32
17,1,2,"Good flavor, a bit salty.",4,2024-04-03 09:40:20
18,5,10,"Super sharp knives, perfect for camping.",5,2024-04-05 15:30:45
19,3,11,"Good basic set, worth the price.",4,2024-03-26 13:55:15
20,10,9,"Stylish tent but battery life could be better.",3,2024-03-19 17:20:00
21,2,9,"Great for camping on the go.",5,2024-03-22 12:44:33
22,4,5,"So cozy and warm, perfect hoodie!",5,2024-03-16 14:55:27
23,7,5,"Color faded slightly after washing.",4,2024-03-30 11:40:22
24,9,6,"Swimsuit fits perfectly, vibrant colors!",5,2024-03-28 10:10:19
25,1,6,"Nice material, runs a bit small.",4,2024-03-21 13:20:12
26,6,7,"Top quality goggles, no leaks!",5,2024-03-29 15:05:35
27,5,7,"Comfortable fit but strap could be stronger.",3,2024-03-24 12:15:27
28,2,10,"Tent kept us dry during heavy rain.",5,2024-03-18 16:50:00
29,3,10,"Perfect for weekend camping trips!",5,2024-03-31 14:33:45
30,10,10,"Hiking boots are super durable.",4,2024-03-22 11:22:19
31,4,10,"Comfortable from first wear.",5,2024-03-23 13:10:33
32,7,11,"Good backpack but zipper sticks.",3,2024-03-27 16:15:11
33,6,11,"Spacious and very durable backpack!",5,2024-03-25 09:55:44
34,9,12,"Very comfortable for all-day hiking.",5,2024-03-17 15:30:22
35,1,12,"Good traction on rocky trails.",4,2024-03-20 12:05:18
36,5,13,"Stylish, lightweight, and breathable shoes.",5,2024-03-15 14:45:27
37,2,13,"Shoe laces could be longer.",4,2024-03-19 10:34:10
38,3,14,"Sturdy climbing harness, felt very safe.",5,2024-03-28 09:20:50
39,10,14,"Good value for beginner climbers.",4,2024-03-21 11:10:30
40,4,15,"Bike gears shifted very smoothly.",5,2024-03-29 17:40:00
41,7,15,"Perfect for mountain biking!",5,2024-03-30 12:15:45
42,6,16,"Lights are bright, easy to install.",4,2024-03-23 15:22:19
43,9,16,"Love these camping lights!",5,2024-03-20 13:50:32
44,1,18,"Cozy and soft sleeping bag.",5,2024-03-19 10:12:25
45,2,18,"Warm, but zipper got stuck once.",4,2024-03-22 14:35:18
46,18,19,"Candy was delicious!",5,2024-04-02 15:50:15
47,4,20,"Great power bank, long lasting charge.",5,2024-03-30 13:10:23
48,7,20,"Slightly heavy but excellent backup power.",4,2024-04-01 16:05:10
49,6,1,"Super light backpack, fits a lot!",5,2024-03-28 10:50:22
50,9,1,"Wish it had more pockets.",4,2024-03-25 11:20:33
51,3,2,"Bag is stylish but could be larger.",4,2024-03-23 09:50:15
52,10,2,"Love the design and durability.",5,2024-03-24 11:12:10
53,4,3,"Plenty of space for groceries.",4,2024-03-30 14:10:05
54,7,3,"Strong and reusable shopping bags.",5,2024-03-31 09:45:22
